javanese,indonesian
"Aku pengen banget lunga menyang Jepang, ndelok kembang sakura lan nyoba panganan sing enak-enak.","Saya ingin sekali pergi ke Jepang, melihat bunga sakura dan mencoba makanan yang enak-enak."
"Saderengipun miwiti nyambut damel, sumangga dipun waos rumiyin donga supados selamet.","Sebelum memulai bekerja, mari dibaca dulu doa supaya selamat."
Mugi-mugi panjenengan pinaringan sabar lan kuat ing ngadhepi saben masalah.,Semoga Anda diberikan sabar dan kuat dalam menghadapi setiap masalah.
"Aku kangen banget karo kowe, rasane pengen cepet ketemu lan ngobrol kaya biyasane.","Saya kangen banget sama kamu, rasanya ingin cepat bertemu dan mengobrol seperti biasanya."
"Nalika udan deres, luwih apik ngaso ning omah karo maca buku utawa nonton film.","Ketika hujan deras, lebih baik beristirahat di rumah sambil membaca buku atau menonton film."
"Kula badhe nyuwun pirsa, menapa leres bilih benjing wonten pengajian akbar ing masjid?","Saya mau bertanya, apakah benar bahwa besok ada pengajian akbar di masjid?"
"Menawi sampun siap, sumangga dipun wiwiti sesarengan anggenipun maos Al-Quran.","Jika sudah siap, mari dimulai bersama dalam membaca Al-Quran."
"Aku seneng banget karo kucingku, amarga dheweke tansah ana nalika aku susah.","Saya sangat senang dengan kucingku, karena dia selalu ada ketika saya susah."
"Ojo nganti lali sholat limang wektu, iku minangka kewajiban kanggo saben umat Muslim.","Jangan sampai lupa sholat lima waktu, itu merupakan kewajiban bagi setiap umat Muslim."
"Menawi badhe kesah dateng Surabaya, becike numpak sepur mawon supados langkung cepet.","Kalau mau pergi ke Surabaya, sebaiknya naik kereta saja supaya lebih cepat."
Kula kepengin dados tiyang ingkang sukses supados saged ngangkat drajatipun tiyang sepuh. Mugi gusti ngijabahi.,Saya ingin menjadi orang yang sukses supaya bisa mengangkat derajat orang tua. Semoga tuhan mengijabahinya.
Menawi wonten klenta klentunipun anggen kulo matur. kulo nyuwun agunging pangapunten.,"Apabila ada kesalahan dalam tutur kata saya, Saya mohon maaf sebesar-besarnya."
"Duh gusti, nyuwun pangapunten sedoyo dosa lan kalepatan kulo.","Duh gusti, mohon ampun semua dosa dan kesalahan saya."
Nek lungo ojo lali gowo dompet. Aja lali gowo surat surat penting.,Kalau pergi jangan lupa bawa dompet. Jangan lupa bawa surat-surat penting.
Aku pingin numpak montor mabur. Pengen ngerti koyo opo rasane ning duwur langit.,Saya ingin naik pesawat terbang. Ingin tahu seperti apa rasanya berada di atas langit.
Pancen abot urip ning kuto iki. Nek ora kuat iso edan tenan.,Memang berat hidup di kota ini. Kalau tidak kuat bisa gila beneran.
Ayo sinau bareng. Supoyo iso pinter lan gampang oleh gawean.,Ayo belajar bersama. Supaya bisa pintar dan gampang mencari pekerjaan.
Nek numpak motor ojo banter banter. Ndak tiba lan ciloko.,Kalau naik motor jangan cepat-cepat. Nanti jatuh dan celaka.
Aku kudu ngati ati. Supoyo ora salah langkah lan getun keri.,Saya harus berhati-hati. Supaya tidak salah langkah dan menyesal kemudian.
Tulung resikono kamarku. Ketoke wis koyo alas.,Tolong bersihkan kamarku. Kelihatannya sudah seperti hutan.
"Aku nyuwun pamit. Arep lungo ning omahe kancaku, arep sinau bareng.","Saya mohon pamit. Mau pergi ke rumah temanku, mau belajar bersama."
Mangga dipun raosaken unjukipun. Mboten sah sungkan sungkan.,Silakan dicicipi minumannya. Tidak usah sungkan sungkan.
