javanese,indonesian
Mugi-mugi panjenengan sedoyo tansah pinaringan kaberkahan lan katentreman ing gesangipun.,Semoga anda semua selalu diberikan keberkahan dan ketentraman dalam hidupnya.
"Nek kowe ora seneng karo aku, ya wis ora apa-apa, aku ora bakal meksa kowe.","Kalau kamu tidak suka sama aku, ya sudah tidak apa-apa, aku tidak akan memaksa kamu."
"Saiki aku lagi seneng banget karo lagu-lagu Jawa, lirik e nduweni makna sing jero.","Sekarang aku sedang suka sekali dengan lagu-lagu Jawa, liriknya memiliki makna yang dalam."
"Menawi sampun dumugi ing dalem, sumangga dipun istirahataken rumiyin supados mboten sayah.","Jika sudah sampai di rumah, silakan diistirahatkan dulu supaya tidak lelah."
"Aku ora ngerti carane ngomong marang kowe, nanging aku kudu ngomong jujur.","Aku tidak tahu bagaimana caranya berbicara padamu, tetapi aku harus berbicara jujur."
Kula tumut bingah mireng kabar menawi panjenengan sampun lulus ujian kanthi biji ingkang sae.,Saya ikut senang mendengar kabar bahwa anda sudah lulus ujian dengan nilai yang bagus.
"Yen kowe pengen sukses ing urip iki, kudu sregep sinau lan ora gampang nyerah.","Kalau kamu ingin sukses dalam hidup ini, harus rajin belajar dan tidak mudah menyerah."
"Aja lali ngirim donga marang wong tuwa, sanajan wis ora ana ing donya iki.","Jangan lupa mengirim doa kepada orang tua, meskipun sudah tidak ada di dunia ini."
"Aku ngarepke kowe iso teka ing acara ulang tahunku sesuk, aku pengen kowe ana ing sisihku.","Aku berharap kamu bisa datang di acara ulang tahunku besok, aku ingin kamu ada di sisiku."
Mugi-mugi sedoyo ingkang dipun tindakaken dipun paringi kelancaran lan keberkahan dening Gusti Allah.,Semoga semua yang dilakukan diberikan kelancaran dan keberkahan oleh Tuhan Allah.
"Nek mlaku nang dalan, kudu ngati-ati lan aja nganti kesasar, luwih becik takon yen ora ngerti.","Kalau berjalan di jalan, harus hati-hati dan jangan sampai tersesat, lebih baik bertanya kalau tidak tahu."
"Matur nuwun sanget sampun kersa ngrungokake curhatanku, aku rumangsa luwih entheng saiki.","Terima kasih banyak sudah bersedia mendengarkan curhatanku, aku merasa lebih ringan sekarang."
"Menawi sampun rampung sinau, mangga dipun kempalaken malih buku-bukunipun supados katon rapi lan sae.","Jika sudah selesai belajar, silakan dikumpulkan kembali buku-bukunya supaya terlihat rapi dan bagus."
"Sesuk aku arep lunga menyang Yogyakarta, pengen nyawang Malioboro lan nyicipi gudeg sing enak.","Besok aku mau pergi ke Yogyakarta, ingin melihat Malioboro dan mencicipi gudeg yang enak."
"Yen kowe ora percaya karo aku, ya wis ora apa-apa, nanging aku tetep bakal jujur marang kowe.","Kalau kamu tidak percaya padaku, ya sudah tidak apa-apa, tapi aku tetap akan jujur padamu."
Mugi-mugi Gusti Allah tansah paring pangayoman dumateng panjenengan lan sedaya keluarga.,Semoga Tuhan Allah selalu memberikan perlindungan kepada anda dan sekeluarga.
Aku kudu kerja keras supaya bisa ngangkat drajate wong tuwa lan nyukupi kabeh kabutuhane.,Saya harus bekerja keras supaya bisa mengangkat derajat orang tua dan mencukupi semua kebutuhannya.
"Menawi sampun cekap anggenipun dhahar, sumangga sesarengan maos hamdalah minangka wujud syukur dhumateng Gusti Allah.","Jika sudah cukup dalam makan, silakan bersama-sama membaca hamdalah sebagai wujud syukur kepada Tuhan Allah."
"Dhik kae aku ketemu kowe ing mall karo wong lanang liyo, sopo to kuwi? Kok ora tau crito marang aku.","Kemarin saya bertemu kamu di mall dengan laki-laki lain, siapa itu? Kok tidak pernah cerita kepada saya."
"Aku janji ora bakal ngapusi kowe maneh, amarga aku tresna banget marang kowe.","Aku janji tidak akan berbohong padamu lagi, karena aku cinta sekali padamu."
"Saiki aku lagi nyoba masak resep anyar, muga-muga rasane enak lan kowe seneng.","Sekarang aku sedang mencoba memasak resep baru, semoga rasanya enak dan kamu suka."
