javanese,indonesian
"Sumangga dipun raosaken masakan punika, bilih wonten kirangipun, kula nyuwun pangapunten ingkang kathah.","Silakan dicicipi masakan ini, jika ada kekurangannya, saya mohon maaf yang sebesar-besarnya."
"Karepku sesuk arep menyang Yogyakarta, nanging kok malah udan terus. Dadi ora sido budhal.","Niatnya besok mau ke Yogyakarta, tapi kok malah hujan terus. Jadi tidak jadi berangkat."
"Menawi badhe tumut ngaji, sumangga ngempal wonten ing masjid jam pitu ndalu. Aja telat nggih.","Jika akan ikut mengaji, silakan berkumpul di masjid jam tujuh malam. Jangan terlambat ya."
"Dadi wong ojo gumedhe, amarga kabeh kuwi mung titipan. Mulane, kudu tansah eling lan waspada.","Jadi orang jangan sombong, karena semua itu hanya titipan. Oleh karena itu, harus selalu ingat dan waspada."
"Wingi aku weruh kowe karo wong liyo, sopo kuwi? Kok ora dikenalke marang aku, opo isin?","Kemarin saya melihat kamu dengan orang lain, siapa itu? Kok tidak dikenalkan ke saya, apa malu?"
"Kula nyuwun pamit, amargi sampun rampung anggenipun nyambut damel. Mugi enggal pinanggih malih.","Saya mohon pamit, karena sudah selesai dalam bekerja. Semoga segera bertemu lagi."
"Nek arep tuku sega, aja lali dijupukake lawuhe, amarga yen mung sega thok ora enak.","Kalau mau beli nasi, jangan lupa diambilkan lauknya, karena kalau hanya nasi saja tidak enak."
Mugi-mugi Gusti Allah tansah paring rahmat lan berkah dumateng kita sedaya. Amin.,Semoga Tuhan Allah selalu memberikan rahmat dan berkah kepada kita semua. Amin.
"Sesuk yen aku wis lulus, aku pengen nyambut gawe lan mbangun omah kanggo wong tuwaku.","Besok kalau saya sudah lulus, saya ingin bekerja dan membangun rumah untuk orang tuaku."
"Aja lali ngewangi wong tuwa, amarga wong tuwa kuwi wis ngopeni kowe saka cilik nganti gedhe.","Jangan lupa membantu orang tua, karena orang tua itu sudah merawat kamu dari kecil hingga besar."
"Panjenengan mboten kersa dhahar rumiyin? Menawi mboten, kula badhe dhahar piyambak.","Anda tidak mau makan dulu? Jika tidak, saya akan makan sendiri."
"Kula nuwun sewu, badhe taken, dalan tumuju dhateng Tugu Yogyakarta punika liwat pundi nggih?","Saya permisi, mau bertanya, jalan menuju ke Tugu Yogyakarta itu lewat mana ya?"
"Nak, arep nyandi wae kowe kudu eling Gusti Allah. Gusti Allah ora nate sare.","Nak, mau kemanapun kamu harus ingat Gusti Allah. Gusti Allah tidak pernah tidur."
"Monggo dipun raosaken unjukanipun. Aja sungkan-sungkan, nggih. Anggap wae griya piyambak.","Silakan dicicipi minumannya. Jangan sungkan-sungkan, ya. Anggap saja rumah sendiri."
Mugi-mugi lulus ujian sesuk lan oleh biji sing apik. Supoyo wong tuwo seneng atine.,Semoga lulus ujian besok dan mendapat nilai yang bagus. Supaya orang tua senang hatinya.
"Menawi badhe nyabrang dalan, dipun tengok tengen lan kering rumiyin. Aja nganti ketabrak kendharaan.","Jika akan menyeberang jalan, ditengok kanan dan kiri dulu. Jangan sampai tertabrak kendaraan."
"Pengen tuku klambi anyar kangge lebaran taun iki, tapi opo yo cukup duite?","Ingin beli baju baru untuk lebaran tahun ini, tapi apakah ya cukup uangnya?"
"Aku wis suwe ora dolan nang omahmu. Sesuk yen ana wektu, tak dolan ya.","Saya sudah lama tidak bermain ke rumahmu. Besok kalau ada waktu, saya bermain ya."
"Saiki jaman wis modern, dadi kudu pinter ngaji lan pinter ilmu pengetahuan.","Sekarang zaman sudah modern, jadi harus pintar mengaji dan pintar ilmu pengetahuan."
Mugi-mugi panjenengan sedaya tansah dipun paringi kesehatan lan katentreman dening Gusti Allah SWT.,Semoga anda semua selalu diberikan kesehatan dan ketentraman oleh Tuhan Allah SWT.
"Wingi aku lungo menyang Semarang numpak bis, dalane macet banget lan nggarai kesel.","Kemarin saya pergi ke Semarang naik bis, jalannya macet sekali dan membuat capek."
"Saderengipun miwiti makarya, langkung sae dipun niati kanthi sae supados berkah.","Sebelum memulai bekerja, lebih baik diniati dengan baik supaya berkah."
"Tulung resik-resik kamar, amarga kamare katon reged lan ora nyaman didelok.","Tolong bersihkan kamar, karena kamarnya terlihat kotor dan tidak nyaman dilihat."
"Mekaten ingkang saged kula aturaken, mbok bilih wonten kirang trepipun, kula nyuwun pangaksami.","Demikian yang bisa saya sampaikan, apabila ada kurang tepatnya, saya mohon maaf."
"Arep lunga menyang ngendi kowe saiki? Kok dandanane rapi banget, arep apel?","Mau pergi kemana kamu sekarang? Kok dandannya rapi banget, mau apel?"
"Aja lali marang kanca lan guru, amarga deweke wis ngajari lan ngancani kowe nganti saiki.","Jangan lupa kepada teman dan guru, karena mereka sudah mengajari dan menemani kamu sampai sekarang."
"Kula badhe tumut ndherek dateng acara pengajian benjing dalu, mugi wonten wekdal.","Saya mau ikut serta ke acara pengajian besok malam, semoga ada waktu."
"Nek kowe pengen mulya uripmu, kudu ngabekti marang wong tuwa. Iku kunci surga.","Kalau kamu ingin mulia hidupmu, harus berbakti kepada orang tua. Itu kunci surga."
"Mugi-mugi sedaya dosa lan kalepatan kita diampuni dening Gusti Allah SWT, lan mugi diparingi rahmat.","Semoga semua dosa dan kesalahan kita diampuni oleh Tuhan Allah SWT, dan semoga diberikan rahmat."
"Dhek wingi aku niliki simbah ing ndeso, saiki wis sepi ora kaya biyen, sedih rasane.","Kemarin saya menjenguk kakek di desa, sekarang sudah sepi tidak seperti dulu, sedih rasanya."
"Sumangga dipununjuk teh punika, mugi-mugi saged ngademaken pikiran lan nyegeraken badan.","Silakan diminum teh ini, semoga bisa mendinginkan pikiran dan menyegarkan badan."
"Wingi aku weruh komet liwat ing langit, nanging sayang ora iso moto, batraine entek.","Kemarin saya melihat komet lewat di langit, tapi sayang tidak bisa memotret, baterainya habis."
"Tulung yen arep lunga kandha marang ibumu, ndak ibumu bingung yen kowe ora pamit.","Tolong kalau mau pergi bilang kepada ibumu, nanti ibumu bingung kalau kamu tidak pamit."
Simbah ngendika yen urip kuwi kudu prasaja lan syukur. Aja nganti kesusu lan serakah.,Kakek berkata bahwa hidup itu harus sederhana dan syukur. Jangan sampai terburu-buru dan serakah.
"Aku isin banget yen kudu ngomong babagan iki. Nanging arep piye maneh, wis kadhung kedaden.","Saya malu sekali kalau harus berbicara tentang hal ini. Tapi mau bagaimana lagi, sudah terlanjur terjadi."
"Kulo nuwun sewu, bade tumut langkung, amargi dalem gadhah keperluan ingkang wigati sanget.","Saya permisi, mau ikut lewat, karena saya punya keperluan yang penting sekali."
"Nek nduwe kanca ojo mung pas seneng wae, yen pas susah yo kudu dielingi lan dibantu.","Kalau punya teman jangan hanya pas senang saja, kalau pas susah ya harus diingat dan dibantu."
"Duh Gusti, kulo nyuwun pangapuro menawi wonten tumindak ingkang kirang sae. Mugi kulo tansah dipun tuntun.","Ya Tuhan, saya mohon ampun jika ada tindakan yang kurang baik. Semoga saya selalu dibimbing."
