javanese,indonesian
"Nek arep mangan sego kucing, ojo lali njaluk sambel karo gereh.","Kalau mau makan nasi kucing, jangan lupa minta sambal dan ikan asin."
"Menawi sampun rampung, sumangga dipun tata malih saengga katingal sae.","Jika sudah selesai, silakan ditata kembali sehingga terlihat bagus."
"Kula nyuwun pamit rumiyin, amargi wonten urusan ingkang kedah dipun rampungaken.","Saya mohon pamit dulu, karena ada urusan yang harus diselesaikan."
"Nek awakmu ora sregep nyambut gawe, yo ora bakal iso sugih.","Kalau kamu tidak rajin bekerja, ya tidak akan bisa kaya."
"Panganan iki pancen enak, nanging ojo kakehan mengko wetenge lara.","Makanan ini memang enak, tapi jangan kebanyakan nanti perutnya sakit."
"Nuwun sewu, menawi badhe tindak dhateng kraton, punika numpak bis nomer pinten?","Permisi, kalau mau pergi ke keraton, ini naik bis nomor berapa?"
"Menawi sampun siap, sumangga dipun wiwiti sakmenika kemawon.","Jika sudah siap, silakan dimulai sekarang saja."
"Nek kowe dolan nang Yogyakarta, ojo lali mampir nang Malioboro.","Kalau kamu bermain ke Yogyakarta, jangan lupa mampir ke Malioboro."
"Kula ngaturaken agunging panuwun, amargi sampun kersa nampi kula wonten ing ndalem punika.","Saya mengucapkan banyak terima kasih, karena sudah bersedia menerima saya di dalam rumah ini."
"Yen udan deres ojo metu omah, mengko lara.","Kalau hujan deras jangan keluar rumah, nanti sakit."
Tulung sampun kesupen siram tetuwuhan ingkang wonten ing ngajeng griya nggih.,Tolong jangan lupa menyiram tanaman yang ada di depan rumah ya.
"Yen lagi susah, ojo lali ngadu marang Gusti Allah, supaya atimu tenang.","Kalau lagi susah, jangan lupa mengadu kepada Tuhan Allah, supaya hatimu tenang."
"Kula kepengin dados tiyang ingkang sukses, supados saged mbahagiakaken tiyang sepuh.","Saya ingin menjadi orang yang sukses, supaya bisa membahagiakan orang tua."
"Nek mangkat sekolah kudu isuk, ben ora keri lan bisa sinau kanthi tenang.","Kalau berangkat sekolah harus pagi, biar tidak terlambat dan bisa belajar dengan tenang."
"Mugi-mugi panjenengan tansah diparingi kesehatan, katentreman, lan rejeki ingkang lancar.","Semoga anda selalu diberikan kesehatan, ketentraman, dan rejeki yang lancar."
"Aja lali marang wong tuwa, amarga wong tuwa kuwi segalane.","Jangan lupa kepada orang tua, karena orang tua itu segalanya."
"Menawi numpak motor, kedah ngagem helm supados selamet ing margi.","Kalau naik motor, harus memakai helm supaya selamat di jalan."
"Mekaten atur kula, bilih wonten kalepatan, kula nyuwun agunging pangaksami.","Demikian kata saya, jika ada kesalahan, saya mohon maaf yang sebesar-besarnya."
"Saiki kudu ati-ati yen arep metu omah, akeh wong jahat.","Sekarang harus hati-hati kalau mau keluar rumah, banyak orang jahat."
"Tuku klambi anyar, regane larang, nanging apik banget.","Beli baju baru, harganya mahal, tapi bagus sekali."
"Mekaten rumiyin ingkang saged kula aturaken, mbok bilih wonten klenta-klentunipun, kula nyuwun agunging samodra pangaksami.","Demikian yang dapat saya sampaikan, apabila ada kekurangannya, saya mohon maaf yang sebesar-besarnya."
"Senajan urip iku abot, nanging kudu tetep disyukuri lan dilakoni.","Meskipun hidup itu berat, tapi harus tetap disyukuri dan dijalani."
"Tulung resiki omah, ben katon resik lan nyaman didelok.","Tolong bersihkan rumah, biar terlihat bersih dan nyaman dilihat."
"Menawi tindak-tanduk kula kirang sekeco, kula nyuwun pangapunten ingkang kathah.","Apabila tingkah laku saya kurang berkenan, saya mohon maaf yang sebesar-besarnya."
"Nek ono masalah, ojo dipendem dewe, luwih becik dicritakake marang wong sing dipercoyo.","Kalau ada masalah, jangan dipendam sendiri, lebih baik diceritakan kepada orang yang dipercaya."
Mugi-mugi sedoyo ingkang kula aturaken saged migunani tumrap panjenengan sedoyo.,Semoga semua yang saya sampaikan dapat berguna bagi anda semua.
"Saiki wayahe ngaso, mari ngombe kopi lan nyemil roti ben semangat maneh.","Sekarang waktunya istirahat, mari minum kopi dan ngemil roti biar semangat lagi."
"Klambiku wis katon burek, tak umbah disik ben katon resik.","Bajuku sudah terlihat kusam, saya cuci dulu biar terlihat bersih."
