javanese,indonesian
"Kula nyuwun pamit rumiyin, amargi wonten urusan ingkang kedah dipun rampungaken.","Saya mohon pamit dulu, karena ada urusan yang harus diselesaikan."
"Nek awakmu ora sregep nyambut gawe, yo ora bakal iso sugih.","Kalau kamu tidak rajin bekerja, ya tidak akan bisa kaya."
"Panganan iki pancen enak, nanging ojo kakehan mengko wetenge lara.","Makanan ini memang enak, tapi jangan kebanyakan nanti perutnya sakit."
"Nuwun sewu, menawi badhe tindak dhateng kraton, punika numpak bis nomer pinten?","Permisi, kalau mau pergi ke keraton, ini naik bis nomor berapa?"
"Menawi sampun siap, sumangga dipun wiwiti sakmenika kemawon.","Jika sudah siap, silakan dimulai sekarang saja."
"Nek kowe dolan nang Yogyakarta, ojo lali mampir nang Malioboro.","Kalau kamu bermain ke Yogyakarta, jangan lupa mampir ke Malioboro."
"Kula ngaturaken agunging panuwun, amargi sampun kersa nampi kula wonten ing ndalem punika.","Saya mengucapkan banyak terima kasih, karena sudah bersedia menerima saya di dalam rumah ini."
"Kula tumbas gedhang goreng kalih kopi setunggal nggih, Mbak.","Saya beli pisang goreng dua dan kopi satu ya, Mbak."
"Ngene iki lho sing jenenge urip, ora ngoyo lan bisa ngrasakake apa sing ana.","Begini ini yang namanya hidup, tidak memaksakan dan bisa merasakan apa yang ada."
"Nek aku dadi presiden, tak gawe Indonesia makmur lan sejahtera kanggo rakyat.","Kalau saya jadi presiden, saya buat Indonesia makmur dan sejahtera untuk rakyat."
"Pancen kudu sabar lan tawakal yen ngadhepi pacoban urip, Gusti Allah mesthi bakal nulungi.","Memang harus sabar dan tawakal kalau menghadapi cobaan hidup, Tuhan Allah pasti akan membantu."
"Menawi panjenengan sampun siyap, sumangga kula dherekaken dhateng griya penganten.","Apabila anda sudah siap, silakan saya antarkan ke rumah pengantin."
Kula mboten saget nyambut gawé amarga weteng kula kraos sakit sanget.,Saya tidak bisa bekerja karena perut saya terasa sakit sekali.
"Sesuk yen lulus sekolah, aku kepéngin nglanjutké kuliah lan nggayuh cita-cita.","Besok kalau lulus sekolah, saya ingin melanjutkan kuliah dan meraih cita-cita."
"Nek arep lunga, aja lali ndedonga marang Gusti Allah supaya diwenehi keslametan.","Kalau mau pergi, jangan lupa berdoa kepada Tuhan Allah supaya diberi keselamatan."
"Ojo lali karo sedulur, senajan adoh panggonane tetep kudu disilaturahmi.","Jangan lupa dengan saudara, meskipun jauh tempatnya tetap harus bersilaturahmi."
Mugi-mugi panjenengan sedoyo tansah pinaringan kaberkahan lan kalancaran ing saben dintenipun.,Semoga anda semua selalu diberikan keberkahan dan kelancaran di setiap harinya.
"Yen sira arep nyuwun, aja nyuwun marang manungsa nanging nyuwuno marang Gusti Allah.","Jika kamu ingin meminta, jangan meminta kepada manusia tetapi mintalah kepada Tuhan Allah."
"Lha dalah, wong kuwi kok sombong banget, ora eling yen urip kuwi mung sawetara.","Ya ampun, orang itu kok sombong sekali, tidak ingat kalau hidup itu hanya sementara."
"Duh Gusti, paringono sabar lan kuat kanggo ngadhepi urip sing kebak pacoban iki.","Ya Tuhan, berikanlah sabar dan kuat untuk menghadapi hidup yang penuh cobaan ini."
"Lagi ngapa kowe kok katon bingung? Coba critakna, sapa ngerti aku isa mbantu.","Lagi apa kamu kok kelihatan bingung? Coba ceritakan, siapa tahu aku bisa membantu."
"Menawi sowan dhateng tiyang sepuh, kedah tumindak sopan lan alus supados pikantuk berkah.","Jika berkunjung kepada orang tua, harus bertindak sopan dan halus supaya mendapat berkah."
"Pancen angel golek wong sing jujur lan iso dipercaya ing jaman saiki, nanging aja nganti putus asa.","Memang sulit mencari orang yang jujur dan bisa dipercaya di zaman sekarang, tapi jangan sampai putus asa."
"Yen arep lunga, aja lali mateni kompor lan listrik, ben ora terjadi kebakaran.","Kalau mau pergi, jangan lupa mematikan kompor dan listrik, biar tidak terjadi kebakaran."
"Menawi wonten ingkang kirang prayogi, kula nyuwun agunging pangaksama, amargi kula namung manungsa limrah.","Apabila ada yang kurang baik, saya mohon maaf yang sebesar-besarnya, karena saya hanyalah manusia biasa."
"Aku pengen banget lunga haji, muga-muga enggal ketampa lan bisa ngibadah kanthi khusuk.","Saya ingin sekali pergi haji, semoga segera diterima dan bisa beribadah dengan khusyuk."
"Saiki kowe kudu fokus karo sinau, aja kesusu mikir pacaran, karier luwih penting.","Sekarang kamu harus fokus sama belajar, jangan terburu-buru memikirkan pacaran, karier lebih penting."
"Tulung resikana kamarmu kuwi, wis kaya kandhang pitik, ora enak dipandhang.","Tolong bersihkan kamarmu itu, sudah seperti kandang ayam, tidak enak dipandang."
"Menawi tindak dhateng dalemipun tiyang sepuh, ojo lali mbekta oleh-oleh supados renaning penggalih.","Jika pergi ke rumahnya orang tua, jangan lupa membawa oleh-oleh supaya senang hatinya."
"Yen ana kanca sing butuh bantuan, cepet nulungi aja malah ditinggal, kuwi ora apik.","Kalau ada teman yang butuh bantuan, cepat tolongi jangan malah ditinggal, itu tidak baik."
Mugi-mugi kita sedoyo tansah pinaringan kaberkahan saking Gusti Allah ing saben tumindak.,Semoga kita semua selalu diberikan keberkahan dari Tuhan Allah di setiap tindakan.
"Kowe kudu sregep nyambut gawe lan ngirit, ben iso tuku omah kanggo anak putu.","Kamu harus rajin bekerja dan hemat, biar bisa membeli rumah untuk anak cucu."
"Aja nganti lali karo ngaji lan ngibadah, amarga kuwi sing bakal nuntun uripmu.","Jangan sampai lupa dengan mengaji dan beribadah, karena itu yang akan menuntun hidupmu."
Mugi kulo lan panjenengan sedoyo tansah diparingi kesehatan lan katentreman ing donya lan akherat.,Semoga saya dan anda sekalian selalu diberikan kesehatan dan ketentraman di dunia dan akhirat.
"Yen arep lunga adoh numpak motor, kudu di cek dhisik mesin lan ban, ben selamet tekan tujuan.","Kalau mau pergi jauh naik motor, harus dicek dulu mesin dan ban, biar selamat sampai tujuan."
