javanese,indonesian
Ngopo kowe kok nglamun wae? Ono opo sing mbok pikirke? Ayo crito marang aku.,Kenapa kamu kok melamun saja? Ada apa yang kamu pikirkan? Ayo cerita kepadaku.
Kula mboten saged tumut amargi wonten acara sanes ingkang kedah kula tindakaken.,Saya tidak bisa ikut karena ada acara lain yang harus saya lakukan.
"Dadi wong ojo seneng nyacat wong liyo, luwih becik ngoreksi awake dewe.","Jadi orang jangan suka mencela orang lain, lebih baik mengoreksi diri sendiri."
"Monggo dipun raosaken sekul langginipun, mugi-mugi cocog kaliyan lidah panjenengan.","Silakan dicicipi nasi langginya, semoga cocok dengan lidah anda."
"Yen pengin urip tentrem, kudu iso njaga lisan lan ati, ojo nganti nyakiti liyan.","Jika ingin hidup tentram, harus bisa menjaga lisan dan hati, jangan sampai menyakiti orang lain."
"Kulo nyuwun pamit rumiyin, amargi badhe kesah dhateng peken tumbas janganan lan ulam.","Saya mohon pamit dulu, karena akan pergi ke pasar membeli sayuran dan ikan."
Mugi-mugi sedoyo amal ibadah panjenengan dipun tampi dening Gusti Allah SWT lan dipun paringi ganjaran ingkang sae.,Semoga semua amal ibadah anda diterima oleh Tuhan Allah SWT dan diberikan ganjaran yang baik.
"Ojo lali sinau sing sregep, amarga ilmu kuwi bakal dadi sangu uripmu ing tembe buri.","Jangan lupa belajar yang rajin, karena ilmu itu akan menjadi bekal hidupmu di kemudian hari."
"Menawi badhe tindak dhateng Yogyakarta, panjenengan badhe nginep wonten pundi?","Jika akan pergi ke Yogyakarta, anda akan menginap di mana?"
"Kulo sampun siap nulungi panjenengan, menawi panjenengan mbetahaken pitulungan.","Saya sudah siap menolong anda, jika anda membutuhkan pertolongan."
"Menawi udan, sumangga ngaso rumiyin ngantos terang, supados mboten sakit.","Jika hujan, silakan beristirahat dulu sampai reda, supaya tidak sakit."
"Sesuk aku arep kerja kelompok ing omahe kancaku, arep ngrampungake tugas basa Jawa.","Besok saya akan kerja kelompok di rumahnya temanku, akan menyelesaikan tugas bahasa Jawa."
"Nak, yen nduwe rejeki luwih, ojo lali disedekahke marang wong sing mbutuhake.","Nak, kalau punya rejeki lebih, jangan lupa disedekahkan kepada orang yang membutuhkan."
"Sumangga dipun raosaken unjukanipun, mugi-mugi saged nambahi semangat anggenipun nyambut damel.","Silakan dicicipi minumannya, semoga bisa menambah semangat dalam bekerja."
"Yen kowe pengen urip mulya, kudu sregep nyambut gawe lan ojo lali karo Gusti Allah.","Kalau kamu ingin hidup mulia, harus rajin bekerja dan jangan lupakan Tuhan Allah."
"Aja nganti ketipu karo wong sing omongane manis, nanging atine busuk.","Jangan sampai tertipu dengan orang yang perkataannya manis, tetapi hatinya busuk."
"Kulo nyuwun pamit rumiyin, amargi badhe nglajengaken kegiatan sanes.","Saya mohon pamit dulu, karena akan melanjutkan kegiatan lain."
Mugi-mugi sedoyo ingkang dipun kajataken saged kaleksanan kanthi lancar lan dipun ridhoi dening Gusti Allah SWT.,Semoga semua yang dicita-citakan bisa terlaksana dengan lancar dan diridhoi oleh Tuhan Allah SWT.
"Nek lagi duwe masalah, ojo dipendem dewe, critakno wae marang wong sing mbok percoyo.","Kalau lagi punya masalah, jangan dipendam sendiri, ceritakan saja kepada orang yang kamu percaya."
"Sumangga dipun pirsani, menawi wonten barang ingkang dipun remeni, mboten sah isin-isin.","Silakan dilihat, kalau ada barang yang disukai, tidak usah malu-malu."
"Aku arep lunga menyang Surabaya numpak sepur, pengen niliki simbah sing lagi gerah.","Saya akan pergi ke Surabaya naik kereta, ingin menjenguk kakek yang sedang sakit."
"Nak, yen nduwe kanca, kudu sing apik, sing iso ngelingke yen kowe salah.","Nak, kalau punya teman, harus yang baik, yang bisa mengingatkan kalau kamu salah."
"Menawi panjenengan mboten keberatan, kula badhe ndherek tumut ing acara punika.","Jika anda tidak keberatan, saya akan ikut serta dalam acara ini."
"Senajan urip kuwi rekasa, nanging tetep kudu disyukuri lan dilakoni kanthi ikhlas.","Meskipun hidup itu sulit, tetapi harus tetap disyukuri dan dijalani dengan ikhlas."
"Kula nyuwun pangapunten ingkang kathah, menawi wonten atur ingkang kirang trapsila.","Saya mohon maaf yang sebesar-besarnya, jika ada perkataan yang kurang sopan."
"Nek arep dadi wong kang becik, kudu tresno marang sapadha-padha lan ngopeni lingkungan.","Kalau mau menjadi orang yang baik, harus cinta kepada sesama dan menjaga lingkungan."
"Sumangga dipun nikmati suguhan ingkang sampun cumawis, mboten sah isin lan dipun raosaken.","Silakan dinikmati hidangan yang sudah tersedia, tidak usah malu dan dicicipi."
"Duh Gusti, mugi panjenengan paringi kesabaran lan kekiatan dhumateng kula kangge ngadhepi sedaya pacoban.","Ya Tuhan, semoga anda memberikan kesabaran dan kekuatan kepada saya untuk menghadapi semua cobaan."
"Yen lungo adoh ojo lali ndonga, supaya dilindhungi dening Gusti Allah lan selamet tekan tujuan.","Kalau pergi jauh jangan lupa berdoa, supaya dilindungi oleh Tuhan Allah dan selamat sampai tujuan."
"Aku wingi weruh kancaku ing pasar, saiki wes dadi wong gedhe lan sugih, nanging tetep eling karo kancane.","Saya kemarin melihat temanku di pasar, sekarang sudah menjadi orang dewasa dan kaya, tetapi tetap ingat dengan temannya."
"Menawi wonten klenta-klentunipun anggen kula matur, kula nyuwun agunging samudro pangaksami.","Apabila ada kekeliruan dalam perkataan saya, saya mohon maaf yang sebesar-besarnya."
"Nuwun sewu, kula badhe nderek langkung rumiyin, amargi badhe tumuju dhateng ngajeng.","Permisi, saya mau ikut lewat dulu, karena akan menuju ke depan."
