javanese,ground_truth,generated
Kebon raya bogor isa didadekne salah siji tujuan destinasi wisata,Kebun raya bogor bisa dijadikan salah satu tujuan destinasi wisata,Kebon raya bogor merupakan salah satu tujuan destinasi wisata
"The peak panggone ning cedeke lembang, waratan duwur ning bandung sing adem lan panggone sing apik banget nanging dalan ngge moro panggonan iki kelok-kelok banget lan tikungan landep lan curam, ora disarane dingge motoran pas udan-udan lan wengi. Ning the peak ana nggen mangan sing pemandangane kutha bandung sing indah saka nggunung, rega panganane sing larang banget lan ora sumbut.","The peak berlokasi di dekat lembang, dataran tinggi di bandung yang sejuk dan lokasi yang sangat baik namun jalan untuk mencapai tempat ini sangat berkelok disertai tikungan tajam nan curam, tidak disarankan untuk berkendara saat hujan dan malam hari. Di the peak terdapat restoran dengan pemandangan kota bandung yang indah dari perbukitan, harga makanan yang sangat mahal dan sangat tidak sesuai.","""The peak terletak di atas bukit, dari jalan jauh di bandung yang dingin dan indah tetapi jalan ke tempat ini berkelok-kelok dan tikungan landah dan curam, tidak disarankan untuk motor yang pas hujan-hujan dan malam. Di the peak ada tempat makan yang pemandangannya kota bandung yang indah dari puncak gunung, harga makanan yang mahal dan tidak menggugah."""
Aku kapok nganggo jasa lion air,Saya kapok menggunakan jasa lion air,"""Saya kapok pakai jasa lion air"""
Akeh bab sing isa dhewe tindakake kanggo ngisi wektu luwang.,Banyak hal yang dapat kita lakukan untuk mengisi waktu luang.,"""Banyak hal yang bisa kita lakukan untuk mengisi waktu luang."""
Saya apatis ngelaporake bab-bab kaya iki. Amarga nganti minggu wingi isih tetep hurung digarap. Mung janji-janji terus.,Semakin apatis melaporkan hal-hal seperti ini. Karena sampai minggu lalu masih tetap belum dikerjakan. Hanya janji-janji terus.,"""Saya apatis melapor hal-hal seperti itu. Karena sampai minggu kemarin masih tetap belum digarap. Cuma janji-janji terus."""
Rega dhuwur banget porsi sithik banget ora janji maneh aku teko kanggo kepindho. Panganane ora beda adoh karo emakku dong!,Harga selangit porsi seiprit tidak janji lagi saya datang untuk yang kedua kali. Masakannya tidak beda jauh sama ema saya dong!,"""Harga tinggi banget porsi sangat tidak sesuai janji lagi aku menunggu untuk datang. Makanannya tidak beda jauh dengan ibu saya dong!"""
"Anyar lan kashediya, 5 sekat mangan awan kotak kotak mangan yooyee kotak bekal anti bocor 590","Baru dan tersedia, 5 sekat makan siang kotak kotak makan yooyee kotak bekal anti bocor 590","""Baru dan berkualitas, 5 segitiga makan siang kotak kotak makan yooyee bekal anti bocor 590"""
"Ora ngerti ya kenangapa resto iki manggoni ranking 12 saka 1800an resto sing ana ing jakarta. Regane larang! Panggonane ndhelik, lan rasa panganane biasa bae. Aja percaya banget karo review sing nyesatake.","Tidak mengerti ya kenapa resto ini menduduki peringkat 12 dari 1800an resto yang ada di jakarta. Harga mahal! Lokasi tersembunyi, dan rasa makanan biasa saja. Jangan terlalu percaya sama review yang menyesatkanlah.","""Tidak mengerti ya kenapa resto ini mendapat ranking 12 dari 1800 resto yang ada di jakarta. Harganya mahal! Tempatnya ramai, dan rasa makanannya biasa saja. Jangan percaya banget sama review yang menyesatkan."""
Bledosan ning aksi protes ning afghanistan mateni wong 68,Ledakan dalam aksi protes di afghanistan tewaskan 68 orang,"""Bledos di aksi demonstrasi di afghanistan korban 68"""
"Aku teka marang restoran kuwi bareng karo kancaku. Kancaku kakehan kaget ndhelok pemandangane sing apik tenan ing mbengi. Aku ndhuweni kasempatan njajal stik impore, enak tenan apa maneh sause. Mmm yummi. Yen ana kasempatan aku pengen teka maneh marang kana.","Saya berkunjung ke restoran itu bersama dengan teman saya. Teman saya kebanyakan terkejut melihat pemandangannya yang sangat indah di malam hari. Saya berkesempatan mencoba steak impornya, sangat enak apalagi sausnya. Mmm yummi. Kalau ada kesempatan saya ingin berkunjung lagi ke sana.","""Saya berkunjung ke restoran itu bersama dengan temanku. Temanku sangat terkejut melihat pemandangan yang sangat indah di malam hari. Saya mendapat kesempatan mencicipi steak impor, enak sekali apa lagi sausnya. Mmm yummi. Jika ada kesempatan saya ingin berkunjung kembali ke sana."""
Akses menyang dusun bambu isa ditekani kira-kira ing wektu 1 - 2 jam nganggo mobil pribadi. Mara menyang dusun bambu diusahakake pas wektu wengi amarga awake dhewe isa ndelok cetha pemandangan sing ana lan wektu sing pas kanggo mangan wengi.,Akses menuju dusun bambu bisa ditempuh kira-kira dalam waktu 1 - 2 jam menggunakan mobil pribadi. Berkunjung ke dusun bambu diusahakan saat petang hari karena kita dapat melihat jelas pemandangan yang ada dan waktu yang pas untuk makan malam.,"""Akses menuju ke desa bambu bisa ditempuh kira-kira dalam waktu 1 - 2 jam menggunakan mobil pribadi. Perjalanan menuju desa bambu kesengaja diusahakan pada saat malam hari karena dapat melihat pemandangan yang indah dan waktu yang pas untuk makan malam."""
"Panganane oke padha karo xo suki liyane. Nanging sanajan dina prei gedhe kaya badha iki udhu artine meseme prei lan pesenan ombe, lan liya-liyane kudu mesen ping akeh. Tulung dijaga kepuasan pelanggane. Matur suwun,","Makanan oke sama seperti xo suki lainnya. Tetapi walaupun hari libur besar seperti lebaran ini bukan berarti senyumnya libur dan order minum, dan lain-lain harus order berkali-kali. Tolong di jaga kepuasan pelanggannya. Terima kasih.","""Makanannya oke padha sama sama xo suki lainnya. Namun ketika hari besar seperti akan ini juga berarti maksudnya hari itu, dan lain-lainnya harus pemesanan jauh. Tolong dijaga kepuasan pelanggan. Terima kasih,"""
"Restoran iki yaiku panggon kuliner sing wajib diparani umpama nyang bandung. Ora mung panganane sing manjakne ilat panganan sunda banget, restoran iki uga dibangun nganggo konsep mangan santai ning jero kali dadi nawarne pengalaman kuliner sing berkesan banget. Kudu dijajal dinggo sopo ae sing nyang bandung.","Restoran ini adalah sebuah destinasi kuliner yang wajib dikunjungi bila ke bandung. Selain makanan yang sangat memanjakan lidah makanan sunda, restoran ini juga dibangun dengan konsep makan santai di dalam saung yang dikelilingi alam hutan dan pegunungan yang dihias pepohonan rindang dan dihibur oleh gemericik air sungai sehingga menawarkan pengalaman kuliner yang teramat mengesankan. Harus dicoba bagi siapapun yang ke bandung.","""Restoran ini adalah tempat kuliner yang wajib dikunjungi apabila di bandung. Bukan hanya makanannya yang enak tapi juga restoran ini dibangun dengan konsep makan santai di tepi sungai sehingga memberikan pengalaman kuliner yang sangat berkesan. Harus dicoba bagi siapa pun yang ke bandung."""
Mbalik ngaktifne paket data indosat merga isa akses youtube unlimited.,Kembali mengaktifkan paket data indosat karena dapat akses youtube unlimited.,"""Kembali mengaktifkan paket data indosat karena bisa akses youtube unlimited."""
Aku nembe ngerti ketemu kancaku sek makarya nang trans tv,Saya baru saja bertemu teman saya yang bekerja di trans tv,"""Saya belum pernah tahu bertemu teman saya yang di trans tv"""
"Omah mangan ning dalan anggrek iki nduwe keistimewaan jenis seafood sing rena-rena lan ana sing isih urip dinggo dipilih lan dimasak pas kuwi uga. Rena-rena jenis panganan isa dipilih lan wektu ngenteni sing sediluk nggarai adewe ora tek kesuwen keluwen ngenteni. Menu kerapu kukuse enak banget lan gurih, apa meneh lak dimasak karo iwak sing isih seger. Lokasine lumayan adem, regane mirah.","Rumah makan di jalan anggrek ini memiliki keistimewaan jenis seafood yang beragam dan ada yang masih hidup untuk dipilih dan dimasak saat itu juga. Berbagai jenis masakan dapat dipilih dan waktu tunggu yang singkat membuat kita tidak terlalu lama kelaparan menunggu. Menu kerapu kukusnya sangat enak dan gurih, apalagi bila dimasak dengan ikan yang masih segar. Lokasi cukup sejuk, harga murah.","""Rumah makan di jalan anggrek ini punya keistimewaan jenis seafood yang nya-nya dan ada yang masih hidup untuk dipilih dan dimasak pas itu juga. Berbagai jenis makanan bisa dipilih dan waktu tunggu yang sedikor membuatnya tidak terlalu bosan menunggu. Menu kerang kukus enak banget dan gurih, apalagi kalau dimasak dengan ikan yang masih segar. Lokasinya cukup sejuk, harga terbilang murah."""
"Kaya biasane awakdewe mesti golek kuliner sing liya timbangane sing liyane, awakdewe entuk ning panggen iki yaiku the restaurant padma hotel. Awakdewe pesen menu sing ana. Ana saka indonesia, eropa lan cina, tibake kabeh masakane enak kabeh.","Seperti biasa kami selalu mencari kuliner yang lain daripada yang lain, dapatlah kami di tempat ini yaitu the restaurant padma hotel. Kami memesan menu yang ada. Ada dari indonesia, eropa dan chinese, ternyata semua masakannya enak semuanya.","""Seperti biasa kita harus mencari kuliner yang beda dari yang lain, kita dapat di sini adalah the restaurant padma hotel. Kita memesan menu yang ada. Ada dari indonesia, eropa dan cina, terbakap semua masakannya enak semuanya."""
Iya kuwi sing nggawe aku kesel. Iki udu salahe sing ngelamar nanging jelas 100% salahe pihak sing ana ing ndhuwur sing embuh piye carane dheweke koordinasi. Nyesek aku kuwi sanajan iki kasus kancaku sing ing lampung.,Iya itu yang bikin saya kesal. Ini bukan kesalahan sang pelamar tapi jelas 100% kesalahan pihak yang di atas yang entah bagaimana cara mereka berkordinasi. Nyesek saya itu walaupun ini kasus teman saya yang di lampung.,"""Iya itu yang bikin aku kesel. Ini bukan kesalahan review yang mengajukan lamaran tapi jelas 100% kesalahan pihak dari atas yang tidak tahu apakah caranya bagaimana koordinasi mereka. Nyesek aku itu kan karena kasus ini terjadi ke teman saya yang di lampung."""
"Pelayanane cukup suwi, nanging suwasanane sing diwenehi apik lan unik, dadi karo ngenteni panganan isa nikmati suwasana ing restoran iki, menu sing disajikake aneka werna lan enak,","Pelayanannya agak lama, tetapi suasana yang diberikan keren dan unik, jadi sambil menunggu makanan bisa menikmati suasana di resto ini, menu yang disajikan beragam dan enak,","Pelayanan cukup lama, tetapi suasana yang diberikan baik dan unik, jadi sambil menunggu makanan bisa menikmati suasana di restoran ini, menu yang disajikan beragam dan enak,"""
"Panganan ing kene enak-enak kanthi akeh variasine. Kabehane enak kanthi pemandangan apik. Pelayanane sing maksimal saka mbak diah lan gina saka ngewiwiti teka nganti rampung, dilayani kanthi apik tenan.","Makanan di sini enak-enak dengan banyak variasi. Semuanya enak dengan pemandangan bagus. Pelayanan yang maksimal dari mbak diah dan gina dari awal datang sampai selesai, dilayani dengan sangat baik.","""Makanan di sini enak-enak dengan banyak variasi. Semua enak dengan pemandangan bagus. Pelayanan yang maksimal dari mbak diah dan dari tempat makan sampai selesai, dilayani dengan sangat baik."""
"Ana ing ajang piala dunia 2018 sesuk, telkomsel njupuk bagian minangka pandukung penyiaran resmi ing perhelatan sepak bola donya kasebut.","Dalam ajang piala dunia 2018 nanti, telkomsel mengambil bagian sebagai pendukung penyiaran resmi dalam perhelatan sepak bola dunia tersebut.","Di ajang piala dunia 2018 besok, telkomsel menjadi bagian sebagai pendukung penyiaran resmi dalam perhelatan sepak bola dunia tersebut."""
De'e biasane tuku tisu paseo,Dia biasanya membeli tisu paseo,"""Dia biasanya beli tisu paseo"""
"Buse ora nyaman, mbak, ora sumbut karo sing diomongne bosmu, urung maneh panganane kurang enak banget, terus panggon wisata tujuane sing nggelakne:","Busnya tidak nyaman, mbak, tidak sesuai dengan yang diomongin atasan Anda, belum lagi makanannya kurang enak banget, lalu tempat wisata tujuannya yang mengecewakan:","""Jujur tidak nyaman, mbak, tidak sesuai dengan yang diomongkan bos anda, belum lagi makanannya kurang enak banget, terus tempat wisata tujuan yang mengecewakan:"""
"Cukup gampang golek lokasi iki, mung ngikuti wae arah menyang tengah kota. Mengko ning kiwa dalan ketok parkiran mobil sing cukup akeh, nengkono panggonan kafe iki. Rasane kafe iki pancen arang sepi, pengunjunge akeh banget.","Cukup mudah mencari lokasi ini, tinggal mengikuti saja arah ke tengah kota. Nanti di kiri jalan terlihat parkiran mobil yang cukup banyak, disitulah tempat kafe ini. Rasanya kafe ini memang jarang sepi, banyak sekali pengunjung.","""Lokasi ini cukup mudah ditemukan, hanya mengikuti saja arah ke tengah kota. Di mana di sepanjang jalan langsung parkir mobil yang cukup banyak, di sini tempat kafe ini. Rasanya kafe ini memang angker sepi, pengunjungnya sangat banyak."""
"Gela aku karo provider iki, nganti sebel, nesu, emosi, aku metu, gara gara, sinyal sing ora bener.","Kecewa saya dengan provider ini, sampai kesal, marah, emosi, saya keluar, gara gara, sinyal yang tidak benar.","""Marah sekali aku sama provider ini, sampai jengkel, marah, emosi, aku marah, karena gara gara, sinyal yang tidak benar."""
"Sarung bantal, seprei lan slimute uwis ora putih...terus temboke wes akeh lumut..","Sarung bantal, seprai dan selimutnya tidak lagi putih...trus dindingnya sudah banyak lumut..","""Bantal, seprai dan selimut sudah tidak putih...dan bau sudah banyak lumut.. """
"Lan pas dheweke teka, saya rusak wae iki acara. Gilo banget aku karo dheweke, asli! Ngapuro yoo aku ora seneng banget karo dheweke","Dan ketika dia tiba, makin rusak saja ini acara. Jijik banget gue sama dia, asli! Maaf yaah gue enggak suka banget sama dia","""Dan pas dia datang, saya rusak saja ini acara. Jelek banget saya sama dia, sungguh! Kasih tahu ya saya tidak suka banget sama dia"""
"Dhewe ana acara mangan mbengi wektu kuwi, es krime ora dipisah karo espresso dadi ora isa nyampur sing cocok karo selerane awakedhewe. Salmon steake uga kurang seger, kulit salmone atos, ketoke suwi ing kulkas utawa freezer. Sanajan iku menu utama sing kudune enak.","Kami ada acara makan malam waktu itu, ice krimnya tidak dipisahkan dengan espresso jadi tidak bisa mencampur sesuai selera masing-masing. Salmon steaknya juga kurang segar, kulit salmonnya keras, keliatannya lama di kulkas atau freezer. Padahal itu menu utama yang seharusnya enak.","""Kami ada acara makan malam waktu itu, dessert tidak terpisah dengan espresso sehingga tidak dapat mencampur yang cocok dengan selera kami. Salmon steak juga kurang segar, kulit salmonnya kotor, sepertinya sudah lama di kulkas atau freezer. Meski itu menu utama yang seharusnya enak."""
"Panggonane gampang ditemukake. Resik lan higienis, pelayanane apik, dhewe bisa diskusi babagan panganan kang kasadia. Asik.","Tempatnya mudah ditemukan. Bersih dan higienis, pelayanannya bagus, kita bisa diskusi tentang masakan yang tersedia. Asik.","""Tempatnya gampang ditemukan. Bersih dan higienis, pelayanan bagus, kami bisa diskusi mengenai makanan yang enak. Asik."""
Buffet mangan mbengi paling top. Regane pas karo sing dientukake. Rasane enak piliane akeh. Regane kadang didiskon yen teko rombongan. Sukses terus ya.,Buffet makan malam paling top. Harga sesuai yang didapat. Rasanya enak pilihannya banyak. Harga kadang didiskon jika datang rombongan. Sukses selalu ya.,"""Buffet makan malam paling top. Harga sesuai ditempuh. Rasanya enak pilihan banyak. Harga kadang didiskon jika ke dalam rombongan. Sukses terus ya."""
Panggon sing apik yen dinikmati wengi. Cukup nyaman. Ragane lumayan murah. Senenganku stik tenderloine. Cukup enak.,Tempat yang bagus kalau dinikmati malam hari. Cukup nyaman. Harga cukup terjangkau. Favorit saya steak tenderloinnya. Cukup enak.,"""Tempat yang bagus if dewe menikmati malam. cukup nyaman. harganya cukup murah. favorit saya steak tenderloinnya. cukup enak."""
"Njajal kanggo buka puasa ing kene. Kanggo rega sing kagolong larang ana ing antara hotel berbintang sakelasae, rasa sing ditawakake tenan nguciwakake. Pastane ora ana rasane, panganan liyane uga ora ana rasane. Beda tenan karo apa sing biasa ditawakake. Lan pelayanane uga kurang profesional pas ngelakoni pembayaran nganggo kartu kredit.","Mencoba untuk buka puasa di sini. Dengan harga yang tergolong mahal di antara hotel berbintang sekelasnya, rasa yang ditawarkan sangat mengecewakan. Pastanya hambar, makanan lain juga hambar. Sangat berbeda dengan apa yang biasa ditawarkan. Dan pelayanan juga kurang profesional pada saat melakukan pembayaran dengan mengunakan kartu kredit.","""Mencoba untuk buka puasa di sini. Untuk harga yang tergolong mahal, rasa yang ditawarkan sangat mengecewakan. Pastanya tidak ada rasa, makanan lainnya juga tidak ada rasa. Sangat berbeda dengan apa yang biasanya ditawarkan. Dan pelayanan juga kurang profesional ketika melakukan pembayaran menggunakan kartu kredit."""
"Aku uga bingung loh, sing ndukung tokoh kuwi meh kabeh setipe bisane mung ngenyek-ngenyek, fitnah, tembung-tembung kasar, nyebarna isu ngapusi, ngutamakake emosi, akal sehate ora pernah dinggo.","Gue juga bingung loh, pendukung tokoh itu hampir semuanya setipe bisanya cuma maki-maki, fitnah, kata-kata kasar, menyebar isu bohong, mengutamakan emosi, akal sehat tidak pernah dipakai.","""Saya juga bingung loh, yang mendukung tokoh itu malah semua setipe bisanya cuma menggerutu, fitnah, ejekan kasar, menyebarkan isu menyesatkan, memanipulasi emosi, akal sehat tidak pernah dipakai."""
"Omah mangan nusa indah saiki gelakne ah. Reget, uwong ditokne wae ngrokok ning ruangan nggo ac, pangganan suwe tekane.","Rumah makan nusa indah sekarang mengecewakan ah. Kotor, orang didiamkan saja merokok di ruangan ber ac, makanan lama datangnya.","""Rumah makan nusa indah sekarang berenang ah. Harga mahal, orang satu tokonya satu saja merokok di ruangan dengan ac, piringan lama sudah kotor."""
Nadia nggoleki hem kanggo adike ning uniqlo,Nadia mencari kemeja untuk adiknya di uniqlo,Nadia minta hem ke uniqlo
"101 dalmatians: The series yaiku seri kartun tipi sing digawe karo disney television animation, kerjo bareng karo jumbo pictures.","101 dalmatians: The series adalah sebuah seri animasi televisi yang diproduksi oleh disney television animation, bekerja sama dengan jumbo pictures.","""101 dalmatians: The series adalah seri animasi televisi yang dibuat oleh disney television animation, kerjasama dengan jumbo pictures."""
Kantor kang nyambungake korsel - korut dibuka pekan iki,Kantor penghubung korsel - korut dibuka pekan ini,"""Kantor yang berdekatan dengan korsel - korut dibuka minggu ini"""
Menehi berkah bareng sinde! Etukna 50 paket umroh saben tuku minimal rp 15.000 ning alfamart.,Berbagi berkah bersama sinde! Dapatkan 50 paket umroh setiap pembelian minimal rp 15.000 di alfamart.,"""Dapatkan berkah bersama kami! Dapatkan 50 paket umroh setiap beli minimal rp 15.000 di alfamart."""
"Tuku kaos, topi utawa jam tangan ning lapak monoton roomstore busa ditawa khusus nganggo aplikasi ning hape bosku.","Beli kaos, topi atau jam tangan di lapak monoton roomstore bisa diego khusus pakai aplikasi di hape boskuh.","Beli kaos, topi atau jam tangan di lapak monoton roomstore sale khusus pakai aplikasi di hape gue."
"Aplikasi google maps akeh paedahe, aku puas nganggone!","Aplikasi google maps sangat bermanfaat, saya puas menggunakannya!","""Aplikasi google maps sudah sangat membantu, saya puas menggunakannya!"""
"Kanggo malem minggu ing kene pasangan diwenehi panggonan sing ora kapenak, amarga pas uwong lewat ing kana panggonane dhewe obah-obah, luwih pase mirip kaya warung pinggir dalan. Ora sesuai karo rega panganane sing disajikake, kudune pasangan uga diwenehi panggonan sing apik uduk sembarang nerima tamu lan dideleh ing panggonan kaya kuwi.","Untuk malam minggu di sana pasangan diberi tempat yang tidak nyaman, karena saat orang lewat di sana tempat kami goyang-goyang, lebih tepatnya mirip seperti warung pinggir jalan. Tidak sesuai dengan harga makanan yang disajikan, seharusnya pasangan juga diberi tempat yang bagus bukan sembarang terima tamu dan taruh di tempat seperti itu.","""Untuk malam minggu di sini pasangan diberikan tempat yang tidak nyaman, karena saat orang lewat di lokasi tempat keduanya saling mengeluh, lebih mirip warung pinggir jalan. Tidak sesuai dengan harga makanan yang disajikan, seharusnya pasangan juga diberikan tempat yang bagus tanpa memandang tamu berkunjung dan didekati di tempat itu."""
Menu panganan cukup rena-rena lan nggarai sir mesen kabeh. Mirah? Jelas ae!,Menu makanan cukup bervariasi dan bikin mau dipesan semuanya. Murah? Pastinya!,"""Menu makanan cukup beragam dan membuat iri pesan semua. Harga? Tentu saja!"""
Bagikno sak akeh-akehe. Ben wong iki diproses. Kangen ndelok video njaluk sepiro karo nangis-nangis terus wadul nyang mbok e terus omong lak perlakuane kuwi ora sengaja.,Bagikan sebanyak-banyaknya. Biar ini orang diproses. Kangen melihat video minta maaf sambil nangis-nangis lalu ngadu ke emak lalu bilang kalau perlakuan itu tidak sengaja.,"""Bagikan banyak-banyaknya. Baik orang ini diproses. Kangen melihat video minta maaf dengan nangis-nangis terus wajah ibu yang minta ampun terus sama omongan kalau perlakuan itu tidak sengaja."""
"Soto kudus iki anane ning pinggir dalan, kaping pisan arep mangan rada ora mantep uga sih. Amarga pengen ngerti rasa kudus yo dijajal sek. Ee saktenane uga enak lho, lan ana uga pilihan kanggo nyampurake, pokoke enak tenan. Regane murah pol deh. ","Soto kudus ini adanya di kaki lima, pertama kali mau makan agak ragu juga sih. Karena ingin tahu rasa kudus ya dicoba dulu. Ee ternyata enak juga lho, dan ada juga pilhan untuk mencampurnya, pokoknya enak sekali deh. Harganya murah meriah deh.","""Soto kudus ini lokasinya di pinggir jalan, kedua kali mau makan agak tidak terlalu mantap juga sih. Karena ingin mencoba rasa kudus ya dicoba sek. Eh kan ternyata juga enak lho, dan ada juga pilihan untuk mencampuraduknya juga, pokoknya enak sekali. Harga murah pol deh. """
Olahraga wengi isa dadi pilihan kanggo ngisi wektu lowong.,Olahraga di malam hari dapat menjadi pilihan untuk mengisi waktu luang.,Olahraga malam bisa menjadi pilihan untuk mengisi waktu luang.
Restoran seafood. Menu spesiale yuyu sing dipangan karo kulite. Kanggo aku kurang enak. Kulite isih rada atos. Pelayanane biasa-biasa bae.,Restoran seafood. Menu spesialnyanya kepiting yang dimakan dengan kulitnya. Untuk saya kurang enak. Kulitnya masih agak keras. Pelayanannya biasa-biasa saja.,"""Restoran seafood. Menu spesial udang yang dimakan dengan kuitnya. Untuk saya kurang enak. Kulitnya masih agak kotor. Pelayanan biasa-biasa saja."""
"Enak lumayan, nanging regane larang amarga porsine luwih sithik. Ana pilihan infused kangen water sek cukup kanggo 4 uwong","Enak lumayan, tapi harganya mahal karena porsinya sedikit kecil. Ada pilihan infused kangen water yang cukup untuk 4 orang","""Rasa lumayan, tapi harganya mahal karena porsinya terlalu kecil. Ada pilihan infused bottled water yang cukup untuk 4 orang"""
"Dinggo daerah banda aceh lan sekitare sik lancar, ora ana gangguan blas.","Untuk daerah banda aceh dan sekitarnya masih lancar, tidak ada gangguan sama sekali.","""Untuk daerah banda aceh dan sekitarnya inilah yang lancar, tidak ada gangguan sama sekali."""
Emosi karo gojek sing kerep nyasar yen arep menyang omahku.,Emosi dengan gojek yang selalu nyasar kalau mau ke rumah saya.,"""Emosi sama gojek yang sering nyasar kalau mau ke rumah saya."""
"Kafe sing nyaman, enak lan murah kanthi desain kafe sing unik lan marakna krasan. Panganan enak lan kopi enak lan fasilitas wifi sing cepet lan tv kabel","Kafe yang nyaman, enak dan murah dengan desain kafe yang unik dan bikin betah. Makanan enak dan kopi enak serta fasilitas wifi yang cepat dan tv kabel","""Kafe yang nyaman, enak dan murah dengan desain kafe yang unik dan suasana yang hangat. Makanan enak dan kopi enak dan fasilitas wifi yang cepat dan tv kabel"""
"Uwis sewulan luwih ora mangan indomie, sakpisane mangan langsung nggawe rong porsi indomie goreng jumbo.","Sudah sebulan lebih tidak makan indomie, sekalinya makan langsung bikin dua porsi indomie goreng jumbo.","Sudah satu minggu lebih tidak makan indomie, secara makan langsung bikin nambah porsi indomie goreng jumbo."
