source_text,target_text
Translate Javanese to Indonesian: Reget banget lan ora digatekake karo pelayan restoran. Nguciwakake tenan pelayanane!,Kotor banget dan tidak di hiraukan oleh pelayan restoran. Mengecewakan sekali pelayanannya!
"Translate Javanese to Indonesian: Panggone menurutku biasa ae, kurang resik. Panganane uga biasa ae.","Tempatnya menurut saya biasa saja, kurang bersih. Makanannya pun biasa saja."
"Translate Javanese to Indonesian: Kango usaha sing ditokne marang panggonan iki hasile biasa-biasa war. Sing nguciwakake yaiku kuwalitas panganane. Panganan mung kaya masak thok. Kanggo kelas kuliner bandung sing enak-enak, iki nguciwakake. Ana karcis mlebu per uwong 10.000 lan mobil 15.000.","Untuk usaha yang dikeluarkan ke tempat ini hasilnya biasa-biasa saja. Yang mengecewakan adalah kualitas makanannya. Makanan hanya sekedar masak saja. Untuk kelas kuliner bandung yang enak-enak, ini mengecewakan. Ada karcis masuk per orang 10.000 dan mobil 15.000."
Translate Javanese to Indonesian: Aku sakaluwarga lagi nggolek panggonan mangan lebar nonton. Dhewe bosen mangan ing resto / kafe ing mal. Ujug-ujug katon resto ing tengen dalan. Uwis suwi dhewe ora mangan kari. Mampir dhewe marang resto sing kagolong cilik mung 9 meja. Jebule enak panggonan lan panganane.,Saya sekeluarga sedang cari tempat makan habis nonton. Kami bosan makan di resto / kafe di mal. Tiba-tiba terlihat resto di kanan jalan. Sudah lama kami tidak makan kari. Mampirlah kami ke resto yang tergolong kecil hanya 9 meja. Ternyata enak tempat dan makanannya.
Translate Javanese to Indonesian: Kopi starbucks nyapo isa enak banget seh,Kopi starbucks kenapa bisa enak banget sih
"Translate Javanese to Indonesian: Jerene ning kana bakale dibangun transmart, ning sisih bangunan iku.","Katanya di sana akan dibangun transmart, di sebelah bangunan itu."
"Translate Javanese to Indonesian: Tenan pengalaman unik, mangan ing tengah sawah ing antarane pari sing meh nguning. Kanthi pilian menu sing variatif, penyajian sing apik lan nggugah salera.","Sungguh pengalaman unik, makan di tengah sawah di antara padi yang hampir menguning. Dengan pilihan menu yang variatif, penyajian yang menarik dan menggugah selera."
"Translate Javanese to Indonesian: Mangan abreng karo dulur-dulur wedok kala wingi, panggon nyaman, enak kanggo nongkrong, pelayanane apik. Wis ping bolak-balik mangan ning kene.","Makan bersama dengan para sistah beberapa waktu yang lalu, tempat nyaman, enak buat nongkrong, pelayanan bagus. Dah beberapa kali makan di sini."
"Translate Javanese to Indonesian: Panggonan oleh-oleh komplet lan cukup nyaman, penak dijangkau, regane kajangkau, lan pelayanane grapyak","Tempat oleh-olehnya lengkap dan cukup nyaman, mudah dijangkau, harganya terjangkau, serta pelayanannya ramah"
"Translate Javanese to Indonesian: Hai eviana, ngapura amarga ora nyaman. Kanggo kontak saka indosat isa ngakses tautan iki: Mangga dicek, yo. Matur suwun. Erf","Hai eviana, mohon maaf atas ketidaknyamanannya. Untuk kontak dari indosat dapat mengakses tautan ini: Silakan pengecekan ya. Terima kasih. Erf"
Translate Javanese to Indonesian: Menune indomie karo roti bakar. Kanggo panggonan padha karo cabang sing liyane kapenak kanggo ngumpul.,Menunya indomie sama roti bakar. Untuk tempat sama seperti cabang yang lainnya nyaman buat kumpul. 
"Translate Javanese to Indonesian: Sambel nganggo godhong serawung, tomat, lan lombok rawit. Rasa sambele iki sek nggawe kutha ing garut sek jenengane cibiuk dadi kondhang. Sambel iki isa dinikmati nganggo gurame goreng utawa nganggo pithik goreng. Rasane tenan enak. Liyane ing lengkong cibiuk uga ndhuwe akeh cabang","Sambal dengan daun serawung, tomat, dan cabe rawit. Rasa sambal ini yang membuat kota di garut yang namanya cibiuk jadi terkenal. Sambal ini bisa dinikmati dengan gurame goreng ataupun dengan ayam goreng. Rasanya sangat enak. Selain di lengkokng cibiuk juga memiliki banyak cabang"
Translate Javanese to Indonesian: Aku wis konfirmasi marang pihak gramedia nanging diputer-puter ora ana kajelasan. Pihak gramed nganti spv ing outlet kuwi saling mbuwang lan nyebutake ora ana promo. Kuciwa diputer-puter kaya kuwi,Saya sudah konfirmasi ke pihak gramedia tapi dilempar-lempar tak ada kejelasan. Pihak gramed sampai spv di outlet tersebut saling lempar dan menyebut tidak ada promo. Kecewa dilempar-lempar begitu
"Translate Javanese to Indonesian: Sugeng siang, yen ana bab liyane sing bapak bakal takokake isa nyebut dhewe maneh. Matur suwun zan","Selamat siang, jika ada hal lain yang bapak akan tanyakan dapat mention kami kembali. Terima kasih zan"
"Translate Javanese to Indonesian: Menurut awakdewe panggon iki biasa ae ora ana atraksi utawa pemandangan sing menarik karo rega tiket 10000 / uwong, lak pemandangan gunung ya pancene wis kudune merga ana ning daerah duwur. Dingge wisata kuliner uga ora tek akeh pilihan kaya panggon sing siji maneh.","Menurut kami tempat ini biasa saja tidak ada atraksi atau pemandangan yang menarik dengan harga tiket 10000 / orang, kalau pemandangan gunung ya memang sudah seharusnya karena berada di daerah tinggi. Untuk wisata kuliner juga tidak terlalu banyak pilihan seperti tempat yang satu lagi."
"Translate Javanese to Indonesian: Aku wis dadi pelanggan madtari kat tahun 2002, pas kuwi isih awujud warung terop cilik sing rame banget pas wengi. Pirang-pirang tahun kepungkur manggoni bangunan sing permanen, kat iku aku ngrasa kualitase radak muduk dibandingne karo pas ning warung terop. Sing jelas, rega mundak cukup signifikan, dibandingne warung sakrupa, paling luwih larang.","Saya sudah menjadi pelanggan madtari sejak tahun 2002, saat itu masih berupa warung tenda kecil yang sangat ramai malam hari. Beberapa tahun silam menempati bangunan yang permanen, sejak itu saya merasa kualitasnya agak menurun dibandingkan dengan saat di warung tenda. Yang jelas, harga naik cukup signifikan, dibandingkan warung serupa, mungkin lebih mahal."
"Translate Javanese to Indonesian: Komentar kapisan wis mesthi panggonan sing apik, pelayanane grapyak tenan, lan kanggo menu sing dipilih yaiku iwak bakar lan sop buntute sing aku menehi biji 4 nanging kanggo es buwahe kuwi aku menehi biji 5 ya!","Komentar pertama sudah pasti venue yang kece, pelayanan ramah sekali, dan untuk menu yang dipilih adalah ikan bakar dan sop buntutnya yang aku kasih nilai 4 tapi buat es buah itu aku kasih nilai 5 ya!"
"Translate Javanese to Indonesian: Ing restoran iki panganan kang disediakake akeh banget lan regane cukup kajangkau, kahanane sek enak lan nyaman","Di restoran ini makanan yang disediakan banyak sekali dan harga cukup terjangkau, suasana yang enak dan nyaman"
Translate Javanese to Indonesian: Aku meri ndeleng kaliyan sing isa nemukake rasa seneng.,Aku iri melihat kalian yang bisa menemukan kebahagiaan.
Translate Javanese to Indonesian: Bar tuku pulsa arep daftar paket internet gagal terus lan dikongkon mbaleni terus ning 363 lan panggah ora isa,Habis beli pulsa mau daftar paket internet gagal terus dan suruh mengulang terus di 363 dan tetap tidak bisa
"Translate Javanese to Indonesian: Panggonane apik tenan apa maneh dina mbengi dihias kanggo lampu-lampu, romantis tenan. Cocok kanggo pasangan. Adoh saka reramenan. Hawane adem tenan. Dhewe iso ndhelok apike kutha saka ndhuwur.","Tempatnya sangat bagus apa lagi malam hari dihias dengan lampu-lampu, sangat romantis. Cocok buat pasangan. Jauh dari keramaian. Udaranya sangat dingin. Kita dapat melihat keindahan kota dari atas."
"Translate Javanese to Indonesian: Panganane enak enak lan eye catching kanggo di foto, seneng. Nanging ombeane uga enak lan panggonane kepenak kanggo ngumpul ngumpul karo kanca.","Makanannya enak enak dan eye catching untuk di foto, suka. Tetapi minumannya juga enak dan tempatnya nyaman untuk kumpul kumpul dengan teman."
"Translate Javanese to Indonesian: Iki kaping loro dolanku. Kabeh panganan sing tak jajal eco-eco, lan panggone sik seapik biyen. Ora tau nyesel aku mangan ning kene.","Ini kali kedua kunjungan saya. Semua makanan yang saya coba enak-enak, dan tempatnya masih semenawan dulu. Tidak pernah menyesal makan di sini."
"Translate Javanese to Indonesian: Panganane pithik asap lan sandwich keju, ombeane jus. Lumayan pas lan enak. Panggonane mesthi enak kanggo sing pengen suwasana sepi santai adoh saka rame.","Makanannya smoked chicken dan cheese sandwich, minumannya jus. Lumayan pas dan enak. Tempatnya memang enak buat yang ingin suasana hening santai jauh dari kebisingan."
Translate Javanese to Indonesian: Obat tanpa resep kudune diadohi ibu menyusui,Obat tanpa resep sebaiknya dihindari ibu menyusui
"Translate Javanese to Indonesian: Makin akeh eruh, makin cemburu.","Semakin banyak tahu, semakin cemburu."
Translate Javanese to Indonesian: Karyawan males kanggo ngapa diwenehi cuti. Bisnis lagi elek malah arep foya foya Mikir mulakno!,Karyawan malas untuk apa kasih cuti. Bisnis lagi jelek malah mau foya foya. Mikir dong!
"Translate Javanese to Indonesian: Panggongan sing jejeran kanthi banyu kali lan rimbune wit-witan lan panganan sing enak nggawe betah lan cocok kanggo ngaso, aneka werna jajanan uga kasadia ing panggonan iki, hawane uga seger.","Tempat yang berdampingan dengan air sungai dan rimbunnya pepohonan dan makanan yang lezat membuat betah dan cocok untuk beristirahat, berbagai jajanan juga tersedia di tempat ini, hawanya juga sejuk."
"Translate Javanese to Indonesian: Tulung ya minimal, kanggo kamudahan nasabah supaya ing njero stasiun tigaraksa diwenehi mesin atm bni","Tolong ya minimal, demi kemudahan nasabah agar di dalam stasiun tigaraksa diberikan mesin atm bni"
"Translate Javanese to Indonesian: Kupat tahu gempol iku salah siji kupat tahu legendaris. Panggone ora tek gedhe nanging cukup nyolok karo werna abange ning protelon pasar gempol. Porsine pas banget dingge ngilangne luwe. Ciri khas saka kupat tahu iki yaiku tahune lembut lan kenyel lan duduh kacange pas ning ilat, dicampur karo lontong, capar lan krupuk abang. Enak banget.","Kupat tahu gempol merupakan salah satu kupat tahu legendaris. Tempatnya tidak terlalu besar tetapi cukup mencolok dengan warna merahnya di pertigaan pasar gempol. Porsinya pas banget untuk menghilangkan lapar. Ciri khas dari kupat tahu ini adalah tahunya yang lembut dan kenyal serta kuah kacangnya pas di lidah, dipadu dengan lontong, tauge dan kerupuk merah. Enak sekali."
"Translate Javanese to Indonesian: Wah pada karo aku iki masu nembe wae, paket freesom 1 aku hurung entek namung wis 40 ewu aku disedot perampok","Wah sama seperti saya ini mas barusan, paket freedom l saya belum habis tapi sudah dibebankan tarif internet perlu sampai pulsa sekitar 40 ribu saya disedot perampok"
Translate Javanese to Indonesian: Omah mangan iki mesthu kagolong murah yen dibandingake karo omah mangan sakjenise. Nanging panganan sing disediakake biasa wae ora ana sing istimewa. Akeh-akehe panganan mung iwak utawa oithik kanthi cara masak digoreng. Bisa diomong menu panganane ora ana variasine blas.,Rumah makan ini memang tergolong murah bila dibandingkan dengan rumah makan sejenisnya. Namun makanan yang disediakan biasa saja tidak ada yang istimewa. Sebagian besar makanannya hanya ikan atau ayam dengan cara masak digoreng. Bisa dibilang menu makanannya tidak ada variasi sama sekali.
"Translate Javanese to Indonesian: Kamar mandine adoh saka pantes, kanggo wisuh tangan ora disediakake sabun.","Kamar mandi jauh dari layak, untuk cuci tangan tidak disediakan sabun."
"Translate Javanese to Indonesian: Kahanane cocok dingge kabeh wong, dinggo awakmu sing sir dewean, karo keluarga, utawa karo kanca-kanca cedek ijolan cerita","Suasananya cocok bagi semua orang, baik anda yang ingin menyendiri, bersama keluarga, maupun dengan teman-teman dekat bertukar cerita"
Translate Javanese to Indonesian: Bakso favorite dhewe sakaluwarga. Rasane gurih lan super enak. Dikancani karo es jeruk lan kerupuk putih. Super yummy deh. Regane kajangkau tenan. Lokasine mlebu gang cilik nanging gampang ditemokake amarga akeh uwong sing ngerti ing lokasine.,Bakso favorit kami sekeluarga. Rasanya gurih dan super enak. Ditemani dengan es jeruk dan kerupuk putih. Super yummy deh. Harga sangat terjangkau. Lokasi masuk gang kecil tapi mudah ditemukan karena banyak orang yang tahu di lokasinya. 
"Translate Javanese to Indonesian: Ora enak mangan ing restoran, ora bisa njaluk duduh opor pithik setitik kaya ing warteg.","Tidak enak makan di restoran, tidak bisa minta kuah opor ayam dikit seperti di warteg."
Translate Javanese to Indonesian: Mundake presentase sing minat ride sharing nggarai toyota nekat nggelontor duwit sampek $1 milyat ning grab ben iso nylametne bisnis otomotife.,Meningkatnya presentase peminat ride sharing membuat toyota nekad menggelontorkan uang hingga $1 miliar pada grab demi menyelamatkan bisnis otomotifnya.
"Translate Javanese to Indonesian: Pemandangan kutha bandung sing apik iso dideleng saka sierra kafe lounge. Ana rong pilihan panggen, isa ning jero ruangan utawa njaba. Panggon sing romantis sekeco kanggo wong loro lan sekeca kanggo nglumpuk bareng kanca-kanca karo ngilangne kesel, merga udarane adem lan nyegerne. Panganan sing disediakne uga enak lan akeh pilihane. Ana masakan indonesia, asia, malah eropa / panganan kulonan barang.","Pemandangan kota bandung yang indah dapat disaksikan dari sierra kafe lounge. Ada dua pilihan tempat, bisa dalam ruangan maupun di luar. Tempat yang romantis cocok untuk berduaan dan cocok juga buat kumpul bersama teman-teman sambil melepas lelah, karena udaranya sejuk dan menyegarkan. Makanan yang disediakan juga lezat dan banyak pilihan. Ada masakan indonesia, asia, bahkan eropa / makanan barat."
Translate Javanese to Indonesian: Omah kuwi ndhuwe pager gedhe werna ireng.,Rumah itu memiliki pagar besar berwarna hitam.
"Translate Javanese to Indonesian: Restoran unik, nalika ora disediakake piring, kanggo mangan nganggo lepek godhong gedhang. Panganane cukup enak.","Restoran unik, di mana tidak disediakan piring, untuk makan menggunakan alas daun pisang. Makanan cukup enak."
Translate Javanese to Indonesian: Bapakku pegawe net tv,Ayah saya merupakan seorang pegawai net tv
Translate Javanese to Indonesian: Indomie akeh ditemukake ing warung-warung paling cepak.,Indomie banyak ditemukan di warung-warung terdekat.
Translate Javanese to Indonesian: Angel banget ngerteni wong sing terus rumangsa pener,Sulit sekali mengerti orang yang merasa selalu benar
Translate Javanese to Indonesian: Ngimpi dikon nggolek coklat karo gordon ramsay eh malah kacampur karo duduh indomie,Mimpi disuruh mencari coklat sama gordon ramsay eh malah kecampur sama kuah indomie
"Translate Javanese to Indonesian: Iyo seh mi sedap isine luwih akeh, nanging perkara rasa kalah adoh karo sing liyane","Iya sih mi sedap isinya lebih banyak, tapi soal rasa kalah jauh sama yang lain"
"Translate Javanese to Indonesian: Wah enak tenan, sate sing nikmat bumbu sing pas, rasa sing pas lan iwak sing seger, nganti ngasilake sate sing tenan mantep. Pelayanane sing grapyak.","Wah enak banget, sate yang nikmat bumbu yang pas, rasa yang pas dan daging yang segar, hingga menghasilkan sate yang benar benar mantap. Pelayanan yang ramah. "
Translate Javanese to Indonesian: Wektu teka marang mrene egek udu musim stroberi dadi pada cilik-cilik lan ora apik. Dadi mung njupuk seanane wae. __sad__.,Waktu datang ke sini sedang bukan musim stroberi jadi pada kecil-kecil dan tidak bagus. Jadi cuma ambil seadanya saja. __sad__.
"Translate Javanese to Indonesian: Peresmian operasi sepur bandara dening presiden ri kanthi simbolis, mejet tombol sirine sek nyuarakake genta, dikancani dening menteri perhubungan, menteri bumn, gubernur banten, dirjen perkeretaapian kemhub, dirut ap2, dirut pt kan, lan dirut railink","Peresmian pengoperasian kereta api bandara oleh presiden ri dengan simbolis, penekanan tombol sirine yang menyuarakan genta, didampingi oleh menteri perhubungan, menteri bumn, gubernur banten, dirjen perkeretaapian kemhub, dirut ap2, dirut pt kan, dan dirut railink"
Translate Javanese to Indonesian: Masakan restoran iki rata-rata ora enak.,Masakan restoran ini rata-rata tidak enak.
"Translate Javanese to Indonesian: Cocok kanggo mangan mbengi romantis karo pasangan nalika ngrameke wayahe wong loro, panganane enak lan ndhuwe kelas.","Cocok untuk makan malam romantis dengan pasangan ketika merayakan momen berdua, makanannya enak dan berkelas."
"Translate Javanese to Indonesian: Batagore enak, mi ne enak. Ana aneka panganan sing isa dicicip ing sak panggonan, apameneh saiki tokone uwis direnovasi dadi apik. Ana musala. Area oleh-oleh akeh pilian.","Batagornya enak, mi nya enak. Ada aneka makanan yang bisa dicicip di satu tempat, apalagi sekarang tokonya sudah direnovasi jadi bagus. Ada musala. Area oleh-oleh banyak pilihan. "
"Translate Javanese to Indonesian: Nembe nganggo pirang dina langsung hang, power bank ora isa dinggo apa-apa. Kudu gawa marang panggonan servis.","Baru pakai berapa hari langsung hang, power bank tidak bisa di pake apa-apa. Harus bawa ke tempat servis."
"Translate Javanese to Indonesian: Restoran sing nduwe pemandangan sing apik, lak mrene pas dina wengi golek o panggon lungguh ning jaba ruangan, makane awakmu kabeh bakal ndelok mben meja lampu lampu sing murup, panganane sing awakdewe pesen yaiku sup krim lan cokelat anget enak banget lan lezat pas karo cuacane sing adem","Restoran yang memiliki pemandangan yang bagus, jika ke sini pada malam hari carilah tempat duduk di luar ruangan, maka kalian akan melihat disetiap meja lampu lampu yang menyala, makanan yang kami pesan adalah sup krim dan coklat hangat sangatlah enak dan lezat pas dengan cuacanya yang dingin"
"Translate Javanese to Indonesian: Panggona jan romantis lan nyaman. Karo kahanan sing nyaman banget lan pelayanane sing apik. Panganane enak pol karo regane sing sumbut. Pingin banget mbalik mrene nikmati kahanan wayah sorene. Kabeh apik, sekeca banget!",Tempatnya sangat romantis dan nyaman. Dengan suasana yang sangat nyaman dan pelayanan yang baik. Makanan sangat enak dengan harga yang reasonable. Sangat ingin kembali ke sini menikmati suasana sorenya. Secara keseluruhan baik sangat bagus!
"Translate Javanese to Indonesian: Panganan court sing akeh penyewan, akeh pilihan. Cocok kanggo bocah enom sek pengen nongkrong kelompokan karo mangan - ngombe sek cocok karo dhewe-dhewe. Parkire ambane pol.","Makanan court dengan banyak penyewa, banyak pilihan. Cocok untuk anak muda yang ingin nongkrong berkelompok sambil makan - minum sesuai selera masing-masing. Parkir sangat luas."
"Translate Javanese to Indonesian: Maturnuwun mas kanggo apresiasine. Muga-muga dheweke enggal nemoni wakil awake dhewe, korban phk sakpihak freeport.","Terima kasih bang atas apresiasinya. Semoga beliau segera menemui wakil kami, korban phk sepihak freeport. "
Translate Javanese to Indonesian: Meh luwih ping 5 aku merene. Dim sume yahud lan regane mirah banget. Panggone asyik lan nyaman banget. Sing ngllayani grapyak masiyo awakdewe mung wong loro lan mangan ora akeh jenise. Pokoke rekomendasi banget lak golek dim sum utawa shabu ning balikpapan.,"Hampir lebih 5 kali saya ke sini. Dim sumnya yahud dan harganya terjangkau banget. Tempatnya asyik dan sangat nyaman. Pelayannya ramah walaupun kita cuma berdua dan makan tidak banyak jenisnya. Pokoknya rekomendasi banget, bila mencari dim sum atau shabu di balikpapan."
"Translate Javanese to Indonesian: Panggone nyenengne, santai, lan ora gampang ditemokne, merga sandingan karo toko gede lotte mart.","Tempatnya menyenangkan, santai, dan sangat mudah ditemui, karena bersebelahan dengan swalayan lotte mart"
Translate Javanese to Indonesian: KIPP nampa akeh laporan kaitan anane pelanggaran ing pilkada 2018.,KIPP menerima banyak laporan terkait adanya pelanggaran pada pilkada 2018.
